ID	NR_INWENT	NAZWA	REGION	GMINA	ROK_AKTUALIZACJI
724	N-2.75	Dziura w Leju	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
725	N-2.72	Jaskinia Sawickiego	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
726	N-2.73	Schronisko Wschodnie pod Skałką	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
730	N-2.31	Jaskinia Dzwonów	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
731	N-2.32	Jaskinia Górna	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
732	N-2.33	Jaskinia Skorocicka	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
733	N-2.34	Słomiany Tunel	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
734	N-2.35	Schronisko Północne	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
735	N-2.36	Schronisko w Skorocicach pod Drogą Zachodnie	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
736	N-2.37	Schronisko w Skorocicach pod Drogą Wschodnie	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
737	N-2.38	Jaskinia Ucho Olki	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
738	N-2.39	Schronisko w Okrągłej Górze	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
739	N-2.43	Jaskinia w Skorocicach u Ujścia Doliny	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
740	N-2.44	Jaskinia nad Wodą	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
741	N-2.45	Mostek w Aleksandrowie	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
742	N-2.46	Jaskinia Flisa	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
743	N-2.47	Jaskinia w Aleksandrowie	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
744	N-2.48	Schron z Przepływem	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
